Brand,Price,Body,Mileage,EngineV,Engine Type
BMW,8.34283980427146,sedan,277,2.0,Petrol
Mercedes-Benz,8.974618038455112,van,427,2.9,Diesel
Mercedes-Benz,9.495519314209846,sedan,358,5.0,Gas
Audi,10.043249494911286,crossover,240,4.2,Petrol
Toyota,9.814656338829513,crossover,120,2.0,Petrol
Audi,9.560997243589352,vagon,200,2.7,Diesel
Renault,9.28720881623276,vagon,193,1.5,Diesel
Volkswagen,7.24422751560335,other,212,1.8,Gas
Renault,9.388486557359657,vagon,177,1.5,Diesel
Renault,7.824046010856292,sedan,260,1.79,Petrol
Audi,9.159047077588632,vagon,165,2.7,Gas
Volkswagen,9.259130536145614,sedan,100,1.8,Petrol
Toyota,9.680344001221918,crossover,250,4.7,Gas
Renault,9.0595174822416,hatch,84,1.5,Diesel
BMW,8.003028666384733,other,203,2.0,Petrol
Toyota,10.184900011974314,crossover,21,2.0,Petrol
Audi,8.160518247477505,vagon,250,2.5,Diesel
Toyota,10.551454296015532,other,0,2.4,Diesel
Volkswagen,8.922658299524402,hatch,132,1.4,Diesel
Audi,8.824677891164198,sedan,225,2.4,Gas
Mitsubishi,9.259130536145614,crossover,130,2.4,Gas
Audi,10.1226230824528,sedan,163,4.2,Diesel
Volkswagen,9.94270826568941,crossover,151,3.0,Diesel
Audi,8.779557455883728,sedan,330,2.4,Petrol
Mercedes-Benz,9.515321941506025,other,171,2.2,Other
Mitsubishi,9.047821442478408,hatch,65,1.3,Petrol
Audi,7.9724660159745655,sedan,1,2.3,Gas
BMW,9.975808214115753,other,72,3.0,Petrol
Mitsubishi,9.792555991828847,crossover,87,3.8,Gas
BMW,10.257659366256743,crossover,160,4.8,Gas
Volkswagen,9.190137664658664,van,160,1.9,Diesel
Toyota,9.581903928408666,sedan,147,2.4,Gas
BMW,8.699514748210191,sedan,300,2.8,Petrol
BMW,11.119882876860622,crossover,1,2.5,Diesel
Audi,10.431170293368542,other,14,1.8,Petrol
Mercedes-Benz,9.190137664658664,van,230,2.15,Diesel
Mercedes-Benz,11.05089000537367,crossover,86,5.5,Petrol
BMW,8.948975607841776,sedan,326,2.8,Petrol
Mercedes-Benz,9.169518377455928,van,30,2.2,Diesel
Toyota,9.457200449907708,sedan,181,2.4,Petrol
BMW,10.621327345686446,crossover,80,3.0,Petrol
BMW,8.216088098632316,sedan,231,2.5,Petrol
Mercedes-Benz,10.292145542327912,sedan,134,5.0,Petrol
BMW,8.779557455883728,sedan,335,2.8,Petrol
Renault,9.017968479328726,van,66,1.5,Diesel
Mercedes-Benz,9.878169744551839,crossover,172,3.5,Other
Mercedes-Benz,9.51044496442652,sedan,317,5.0,Petrol
Mercedes-Benz,9.126958763037132,van,266,2.2,Diesel
Volkswagen,8.517193191416238,vagon,265,2.0,Diesel
BMW,10.081633737919603,crossover,162,4.8,Petrol
BMW,10.515966830028619,sedan,81,3.0,Diesel
BMW,9.093806555720231,other,253,1.8,Petrol
Renault,8.961879012677683,van,200,1.9,Diesel
BMW,7.408530566894626,sedan,270,1.8,Petrol
Mercedes-Benz,10.819778284410283,sedan,240,3.5,Petrol
Renault,9.179881164491475,van,245,2.0,Diesel
Mercedes-Benz,9.21024036697585,van,127,2.2,Diesel
Audi,11.156236235215168,crossover,21,3.0,Petrol
Mitsubishi,8.779557455883728,sedan,152,1.6,Petrol
Audi,8.366370301681654,sedan,267,1.9,Diesel
Audi,8.006367567650246,sedan,267,2.5,Diesel
Mercedes-Benz,9.071078304642676,sedan,240,2.2,Diesel
Renault,9.104979856318357,vagon,178,2.0,Petrol
Mercedes-Benz,9.923290179832307,sedan,190,1.8,Gas
BMW,9.104979856318357,sedan,175,3.0,Petrol
Mercedes-Benz,9.503009985939002,sedan,105,1.8,Petrol
Volkswagen,8.216088098632316,sedan,195,1.9,Diesel
Volkswagen,9.195226734166134,van,126,2.0,Diesel
Audi,8.216088098632316,hatch,420,2.0,Diesel
Toyota,9.6614159913364,crossover,195,4.0,Gas
Mercedes-Benz,10.106428396532818,sedan,180,2.2,Diesel
Mitsubishi,8.922658299524402,sedan,195,1.6,Gas
Volkswagen,9.39182824802156,van,231,2.5,Diesel
Volkswagen,9.525771357380366,hatch,51,1.4,Petrol
BMW,9.011889433252344,sedan,287,2.5,Gas
Renault,8.85352256068954,van,222,1.5,Diesel
Renault,8.817297783866575,vagon,214,1.5,Diesel
Audi,9.825526011066415,sedan,245,3.0,Diesel
Toyota,9.567944883732848,sedan,83,2.0,Petrol
Mercedes-Benz,10.257659366256743,crossover,210,3.2,Diesel
Mitsubishi,9.740968623038354,crossover,89,3.8,Petrol
Mercedes-Benz,10.154246270883311,crossover,130,4.7,Gas
Audi,7.882314918980268,vagon,333,2.5,Diesel
Mitsubishi,9.047821442478408,sedan,116,1.5,Petrol
Mercedes-Benz,8.294049640102028,sedan,405,2.0,Diesel
Renault,9.305650551780507,other,131,1.5,Diesel
Mercedes-Benz,9.581903928408666,sedan,138,2.0,Petrol
BMW,8.318498320504338,sedan,50,2.5,Petrol
Volkswagen,10.357742824813725,crossover,1,2.0,Petrol
Renault,8.411832675758411,van,207,1.5,Diesel
Volkswagen,8.809862805379057,other,207,1.9,Diesel
Mitsubishi,9.94270826568941,crossover,31,2.4,Petrol
Mercedes-Benz,11.58987724680423,crossover,0,2.98,Diesel
BMW,8.160518247477505,sedan,334,2.0,Diesel
Audi,10.571316925111784,sedan,18,1.8,Other
Toyota,9.51044496442652,crossover,150,4.7,Gas
Mitsubishi,8.724207360800564,sedan,175,1.6,Petrol
BMW,10.725467604939041,crossover,76,4.4,Petrol
BMW,8.496990484098719,sedan,295,2.0,Petrol
BMW,10.757902880692196,other,5,2.0,Petrol
Toyota,9.862665558015873,crossover,190,2.7,Gas
Mitsubishi,9.314700387300425,crossover,119,2.4,Gas
Mitsubishi,9.011889433252344,sedan,139,1.5,Other
Volkswagen,9.239899174217728,sedan,235,2.0,Petrol
Renault,9.39182824802156,van,210,1.1,Diesel
BMW,10.753638481905739,sedan,33,2.0,Diesel
Volkswagen,7.313220387090301,other,260,1.8,Gas
BMW,8.756210091886738,crossover,156,4.4,Gas
Mercedes-Benz,9.093806555720231,hatch,155,1.5,Petrol
Mercedes-Benz,9.449357272446683,van,160,3.0,Diesel
Mitsubishi,8.987196820661973,sedan,207,1.6,Gas
Toyota,10.292145542327912,crossover,63,4.0,Petrol
Renault,8.867850063029406,van,208,1.5,Diesel
Renault,9.291920358968605,crossover,103,2.5,Gas
Volkswagen,10.203592144986466,sedan,57,2.0,Diesel
Volkswagen,9.803667217253917,other,64,2.0,Petrol
BMW,10.203592144986466,sedan,137,5.0,Other
BMW,9.103868127465667,other,300,2.2,Petrol
Toyota,10.401227936753463,crossover,82,2.7,Petrol
BMW,10.146433731146518,other,163,4.8,Petrol
Toyota,9.093806555720231,crossover,153,2.0,Petrol
Audi,9.388486557359657,sedan,190,3.0,Petrol
Mercedes-Benz,10.030120203469494,sedan,125,2.2,Diesel
BMW,9.472704636443673,sedan,165,2.2,Gas
Audi,10.126631103850338,other,60,2.0,Petrol
Toyota,10.19988156558993,crossover,119,4.0,Gas
Mercedes-Benz,11.382554786308235,van,0,2.2,Diesel
Volkswagen,8.699514748210191,van,200,2.0,Diesel
Audi,9.190137664658664,vagon,257,2.5,Diesel
Audi,9.539644119118783,other,197,2.0,Diesel
Renault,9.409191230721348,van,164,2.5,Diesel
Mercedes-Benz,9.51044496442652,crossover,205,2.7,Diesel
BMW,9.803667217253917,crossover,200,4.8,Petrol
BMW,10.404262840448617,crossover,200,3.0,Diesel
Volkswagen,9.735068900911164,crossover,145,1.4,Petrol
Mercedes-Benz,9.998797732340453,sedan,110,1.8,Petrol
Volkswagen,9.277999020449997,sedan,195,3.2,Petrol
Mercedes-Benz,8.961879012677683,sedan,226,2.2,Diesel
Mercedes-Benz,9.75846178048587,sedan,184,1.8,Gas
BMW,11.156250521031495,sedan,16,3.0,Diesel
Volkswagen,7.696212639346407,hatch,118,1.4,Petrol
BMW,9.093806555720231,sedan,256,2.2,Petrol
Mercedes-Benz,10.360912399575003,sedan,33,1.6,Petrol
Volkswagen,8.974618038455112,other,168,1.9,Diesel
Toyota,10.257659366256743,crossover,97,3.5,Petrol
Renault,8.83927669058535,van,140,1.5,Diesel
BMW,9.088172738001974,vagon,280,2.5,Diesel
Renault,8.039157390473237,van,164,1.4,Petrol
BMW,9.093806555720231,sedan,250,2.5,Petrol
Renault,8.716044050161402,sedan,130,1.4,Petrol
BMW,7.24422751560335,sedan,260,1.8,Petrol
Volkswagen,9.082507000466299,van,93,1.6,Diesel
Renault,9.239802082125802,other,176,2.0,Diesel
Renault,8.779557455883728,sedan,170,1.6,Petrol
Toyota,9.116029692504942,sedan,151,1.6,Gas
Volkswagen,9.205327830152639,hatch,95,1.4,Petrol
Toyota,10.106428396532818,crossover,260,4.7,Gas
Audi,10.849337086651827,crossover,27,3.0,Diesel
Volkswagen,9.464982590349763,van,290,1.9,Diesel
Mercedes-Benz,8.987196820661973,van,250,2.2,Diesel
Mitsubishi,8.99961934066053,sedan,112,2.4,Petrol
Renault,9.22029070282935,van,164,2.0,Diesel
BMW,7.549609165154532,sedan,300,2.5,Diesel
Renault,9.287301413112312,van,187,2.0,Diesel
Audi,8.987196820661973,sedan,234,4.2,Gas
Mercedes-Benz,9.635608107380527,other,120,2.6,Petrol
Volkswagen,7.762170607138205,hatch,182,1.9,Diesel
BMW,10.568440998725292,vagon,5,0.65,Other
Toyota,11.512915464920228,crossover,0,4.5,Diesel
Volkswagen,9.778491062361443,sedan,110,1.8,Petrol
Volkswagen,9.47262771040802,van,237,2.5,Diesel
Mercedes-Benz,9.825526011066415,other,90,1.8,Petrol
Volkswagen,9.126958763037132,sedan,195,2.0,Petrol
Volkswagen,9.581903928408666,sedan,1,1.6,Other
Volkswagen,9.798127036878302,vagon,18,1.6,Diesel
Mercedes-Benz,8.824677891164198,van,250,1.7,Diesel
BMW,9.9281801651265,crossover,73,2.0,Petrol
BMW,10.239959789157341,other,100,5.0,Petrol
Volkswagen,9.273315171137572,van,130,2.0,Diesel
Volkswagen,9.918376165029878,other,30,1.4,Petrol
Volkswagen,8.006367567650246,vagon,267,1.9,Diesel
Toyota,10.136581434703507,crossover,112,4.5,Gas
Mitsubishi,7.236339342754344,hatch,245,1.3,Petrol
Mercedes-Benz,9.775654181026242,sedan,174,4.0,Diesel
Mercedes-Benz,9.560997243589352,van,180,2.2,Diesel
BMW,9.525151111816216,crossover,270,4.6,Gas
Mercedes-Benz,10.081633737919603,sedan,187,5.5,Petrol
Volkswagen,10.373491181781864,sedan,144,3.6,Petrol
BMW,8.433594167539924,sedan,267,2.0,Gas
Volkswagen,7.762170607138205,sedan,300,1.9,Diesel
Audi,9.903437551286085,vagon,160,2.0,Petrol
BMW,10.271596874100524,sedan,78,2.0,Petrol
Volkswagen,8.242756345714477,sedan,300,2.8,Gas
Volkswagen,7.495541943884256,other,300,1.3,Petrol
Volkswagen,9.179881164491475,sedan,201,2.0,Petrol
Mitsubishi,10.140226269364646,other,1,2.5,Diesel
Volkswagen,10.1226230824528,sedan,1,1.6,Diesel
Renault,8.51699317141357,sedan,140,1.4,Petrol
BMW,8.45531778769815,sedan,390,2.5,Petrol
Mercedes-Benz,8.51699317141357,sedan,1,2.8,Petrol
Mercedes-Benz,9.137662146478197,sedan,350,2.7,Diesel
Mercedes-Benz,10.126631103850338,sedan,130,5.5,Petrol
Mitsubishi,9.464982590349763,crossover,148,3.0,Gas
Audi,9.179881164491475,vagon,189,2.5,Diesel
Renault,9.22029070282935,van,64,2.0,Diesel
BMW,7.937374696163295,sedan,296,3.0,Diesel
Mercedes-Benz,9.51044496442652,van,350,2.9,Diesel
Mitsubishi,9.093806555720231,hatch,125,1.8,Petrol
Mercedes-Benz,11.60822655382414,crossover,0,3.0,Diesel
Mercedes-Benz,9.350102314351341,sedan,180,3.2,Gas
BMW,10.515966830028619,crossover,82,3.0,Petrol
Toyota,10.410305154904579,crossover,150,4.0,Gas
Volkswagen,9.230142999272362,van,253,2.5,Diesel
Volkswagen,9.74090979777877,sedan,0,1.6,Petrol
Toyota,9.287301413112312,sedan,179,3.0,Gas
Mercedes-Benz,10.477287975463508,other,99,2.99,Diesel
Volkswagen,9.20029003612268,hatch,156,1.6,Petrol
Renault,8.974618038455112,vagon,91,1.5,Diesel
Mercedes-Benz,9.539644119118783,sedan,216,2.2,Diesel
Volkswagen,9.903487552536127,sedan,102,1.8,Petrol
